letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
떡볶이,떡뽀끼,3,ㅃ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,3,).png
물병,물뼝,2,ㅃ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,4,).png
붕어빵,붕어빵,3,ㅃ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,5,).png
빨대,빨때,2,ㅃ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,6,).png
빵,빵,1,ㅃ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,7,).png
빼빼로,빼빼로,3,ㅃ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,8,).png
뼈다귀,뼈다귀,3,ㅃ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,9,).png
뿔,뿔,1,ㅃ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,10,).png
삐에로,삐에로,3,ㅃ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,11,).png
아빠,아빠,2,ㅃ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,12,).png
코뿔소,코뿔쏘,3,ㅃ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,13,).png
킥보드,킥뽀드,3,ㅃ,ㄱ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,14,).png
호빵,호빵,2,ㅃ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/qq/qq+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,qq/qq+(,15,).png
단풍,단풍,2,ㅍ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,1,).png
달팽이,달팽이,3,ㅍ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,2,).png
루돌프,루돌프,3,ㅍ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,3,).png
물음표,무름표,3,ㅍ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,4,).png
샴푸,샴푸,2,ㅍ,ㅁ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,5,).png
선풍기,선풍기,3,ㅍ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,6,).png
소파,소파,2,ㅍ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,7,).png
슬리퍼,슬리퍼,3,ㅍ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,8,).png
실로폰,실로폰,3,ㅍ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,9,).png
양파,양파,2,ㅍ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,10,).png
연필,연필,2,ㅍ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,11,).png
원피스,원피스,3,ㅍ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,12,).png
이어폰,이어폰,3,ㅍ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,13,).png
지팡이,지팡이,3,ㅍ,ㅇ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,14,).png
칠판,칠판,2,ㅍ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,15,).png
커피,커피,2,ㅍ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/v/v+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,v/v+(,16,).png
