letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
리모컨,리모컨,3,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,11,).png
리본,리본,2,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(12).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,12,).png
만두,만두,2,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(13).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,13,).png
망원경,망ː원경,3,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(14).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,14,).png
메론,메론,2,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(15).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,15,).png
면도기,면ː도기,3,ㅁ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(16).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,16,).png
반지,반지,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(17).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,17,).png
병원,병ː원,2,ㅂ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(18).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,18,).png
산,산,1,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(19).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,19,).png
산타,산타,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(20).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,20,).png
샌드위치,샌드위치,4,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(21).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,21,).png
선물,선ː물,2,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(22).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,22,).png
선풍기,선풍기,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(23).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,23,).png
세면대,세ː면대,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(24).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,24,).png
소방관,소방관,3,ㅅ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/es/es+(25).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,es/es+(,25,).png
