letter,pronunciation,syllable,initial,finality,letter_img_url,sound_url,,,,,,
캐리어,캐리어,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(46).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,46,).png
코끼리,코끼리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(47).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,47,).png
크레파스,크레파쓰,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(48).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,48,).png
탬버린,탬버린,3,ㄹ,ㄴ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(49).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,49,).png
트리,트리,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(50).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,50,).png
파리,파리,2,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(51).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,51,).png
포크레인,포크레인,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(52).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,52,).png
프라이팬,프라이팬,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(53).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,53,).png
해바라기,해바라기,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(54).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,54,).png
해파리,해:파리,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(55).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,55,).png
호랑이,호:랑이,3,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(56).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,56,).png
호루라기,호루라기,4,ㄹ,null,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/f/f+(57).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,f/f+(,57,).png
거울,거울,2,ㅇ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(1).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,1,).png
경찰차,경:찰차,3,ㅊ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(2).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,2,).png
딱풀,딱풀,3,ㅍ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(3).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,3,).png
꿀벌,꿀벌,2,ㄲ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(4).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,4,).png
달,달,1,ㄷ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(5).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,5,).png
딸기,딸:기,2,ㄸ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(6).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,6,).png
말,말,1,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(7).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,7,).png
멸치,멸치,2,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(8).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,8,).png
무당벌레,무:당벌레,4,ㅂ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(9).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,9,).png
물,물,1,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(10).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,10,).png
물개,물깨,2,ㅁ,ㄹ,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/ef/ef+(11).png,,,,https://ggomalggomal.s3.ap-southeast-2.amazonaws.com/ggomal/word/,ef/ef+(,11,).png
